"Supplemental Table 5. ASCA temperature effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC100372967.1.1.m.16378,-0.009826708,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100372990.1.1.m.15018,-0.024875162,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373045.1.1.m.16825,-0.001273226,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373083.1.2.m.19986,-0.003876488,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373083.1.2.m.19987,0.001846108,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373083.2.2.m.26841,-0.006254511,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373090.1.1.m.52283,0.007089567,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373100.3.4.m.51137,-0.006156057,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373100.4.4.m.65650,-0.006936046,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373136.1.1.m.6977,-0.009524754,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373138.1.1.m.23491,0.000606034,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373141.1.1.m.11194,-0.002005427,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373146.1.2.m.13310,-0.019813724,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373146.2.2.m.27802,0.00243537,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373169.1.1.m.15573,0.010391956,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373170.1.1.m.10994,0.000781071,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373178.1.1.m.61012,-0.009756103,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373186.1.1.m.58981,0.029544295,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373240.1.1.m.28382,-0.012017422,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373287.1.1.m.36226,-0.008422926,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373289.1.2.m.7904,-0.007494101,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373317.1.1.m.16740,-0.01824774,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373327.1.13.m.13252,-0.003016347,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373327.2.13.m.16978,0.00718079,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373339.1.1.m.5653,0.004642656,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373351.1.3.m.49572,0.00217376,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373351.2.3.m.58893,0.003032091,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373353.1.1.m.50175,-0.000688349,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373374.1.1.m.7546,0.000799659,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373421.1.1.m.38932,-0.006969339,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373427.1.1.m.49648,0.007155408,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373429.1.1.m.10007,0.00527207,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.22.79.m.26109,0.007481217,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.23.79.m.27899,0.024142334,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.44.79.m.39021,-0.013428331,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.59.79.m.54129,-0.003755422,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.63.79.m.59147,0.010918285,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.7.79.m.3209,0.00327826,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.72.79.m.60850,0.007321902,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373444.8.79.m.3255,0.003617186,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373454.1.1.m.59681,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373457.1.1.m.27685,0.000914554,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373461.1.2.m.30015,0.005782665,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373484.1.1.m.8540,-0.0019422,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373488.1.1.m.10129,0.006329634,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373492.1.1.m.24527,-0.012450619,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373522.5.5.m.54028,-0.007649481,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373569.1.1.m.280,-0.013041698,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373584.1.1.m.6647,-0.022605953,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373590.1.1.m.51920,-0.000427177,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373606.1.1.m.29757,-0.003223327,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373653.3.3.m.56289,-0.00015226,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373656.1.1.m.57144,-0.008629189,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373657.1.1.m.10366,0.022775874,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373670.1.1.m.2427,-0.002083857,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373694.1.1.m.11753,-0.004914821,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373728.1.1.m.59746,-0.017018044,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373809.1.2.m.35126,-0.014425408,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373842.2.4.m.5139,-0.012936,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373842.4.4.m.40731,0.013556599,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373864.1.2.m.16543,-0.00147669,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373864.2.2.m.55132,-0.014268933,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373888.8.9.m.60548,-0.010294694,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373888.9.9.m.66033,-0.007747237,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373892.1.2.m.44404,0.021724652,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373892.2.2.m.55838,0.001095845,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373898.1.1.m.24900,0.00457682,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373917.1.1.m.43876,-0.006558507,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373945.1.1.m.53450,-0.008828557,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373956.1.1.m.10987,-0.000603942,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373985.1.1.m.9302,0.017903272,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100373990.1.1.m.6259,-0.001571059,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374036.1.1.m.65939,0.009114944,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374062.1.1.m.22586,-0.018395414,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374077.1.1.m.5922,0.00242256,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374096.1.1.m.8052,-0.005439745,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374116.1.1.m.37009,0.008509795,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374155.1.1.m.56570,0.006364062,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374249.1.1.m.58296,-0.008991838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374249.1.1.m.58297,-0.017041166,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374268.1.1.m.58983,-0.000271015,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374272.3.6.m.53440,0.005536581,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374272.5.6.m.57085,-0.00101634,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374272.6.6.m.62213,-4.09E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374274.2.3.m.27036,-0.005503166,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374277.1.3.m.16275,-0.007201892,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374277.2.3.m.23204,-0.003311177,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374280.1.1.m.17385,0.025745953,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374307.1.1.m.29504,-0.006429894,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374320.1.1.m.54274,-0.001578195,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374338.1.1.m.44584,-0.00165511,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374345.1.2.m.11328,-0.00879522,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374358.1.1.m.59032,-8.62E-06,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374370.1.1.m.56335,-0.002565846,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374422.1.2.m.26376,-0.009655468,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374446.1.1.m.29971,-0.001687707,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374467.1.1.m.31786,-0.007956548,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374491.1.1.m.6498,-0.003423375,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374495.1.1.m.55368,-0.003779799,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374522.1.1.m.66943,-0.012971836,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374527.1.1.m.55214,4.87E-06,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374535.2.3.m.26026,0.003409828,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374535.3.3.m.31001,8.68E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374537.1.1.m.27241,0.008310743,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374573.1.1.m.24523,-0.001444619,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374633.1.2.m.21988,8.65E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374633.1.2.m.21989,-0.013950339,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374651.1.4.m.28869,0.000570629,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374651.3.4.m.52010,-0.006851282,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374662.1.6.m.7038,-0.017014889,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374676.1.1.m.61638,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374685.1.1.m.16061,0.012889684,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374693.1.1.m.62043,0.007373351,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374703.1.1.m.28348,-0.004328715,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.27.83.m.24541,0.00736344,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.30.83.m.32433,0.010455582,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.38.83.m.33463,0.00768898,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.49.83.m.42424,0.010470692,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.54.83.m.47294,0.017661648,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.61.83.m.53306,0.002364736,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.70.83.m.60164,0.009409522,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.72.83.m.60196,-0.01415805,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374741.79.83.m.63217,-0.006175612,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374742.1.2.m.209,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374747.1.1.m.54969,-0.002229312,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374754.1.1.m.32299,-0.006359872,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374772.1.4.m.30631,-0.002482201,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374785.2.3.m.34677,-0.013953557,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374808.1.1.m.29300,0.003252086,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374819.2.7.m.48237,-0.007857611,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374839.1.1.m.63735,0.016715394,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374845.1.1.m.49323,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374849.1.4.m.16004,0.012397557,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374909.1.2.m.4076,-0.012626191,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374909.2.2.m.57748,0.002329245,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374912.1.1.m.51922,-0.005991636,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374960.1.1.m.25267,-0.011579307,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374962.1.1.m.28954,0.002967497,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374974.12.16.m.47308,0.007936709,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374974.15.16.m.58657,0.000677134,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374981.1.16.m.21258,-0.007430869,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374981.4.16.m.24874,0.019961701,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374995.1.3.m.34198,-0.004963011,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100374995.2.3.m.59062,-0.006658128,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375012.1.1.m.11931,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375022.1.1.m.3033,-0.003293692,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375029.3.10.m.11445,0.000211548,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375065.1.1.m.7678,0.002022564,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375089.1.1.m.1341,0.000611019,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375122.1.1.m.52296,-0.004518005,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375141.1.1.m.12655,0.021853814,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375168.1.1.m.23641,0.001906116,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375191.1.2.m.9220,-0.008063188,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375194.5.7.m.46447,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375204.2.2.m.21490,0.00578189,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375204.2.2.m.21491,-0.02251415,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375219.1.1.m.30268,0.003890758,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375219.1.1.m.30269,-0.015995544,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375230.1.1.m.52612,-0.017410199,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375232.1.2.m.2686,0.007891522,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375265.2.2.m.11396,0.00972342,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375266.1.1.m.6535,-0.003772574,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375293.2.2.m.58888,-0.014702438,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375314.1.1.m.19446,0.006664417,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375322.1.1.m.22016,0.004640972,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375324.1.1.m.45919,0.000290886,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375342.2.3.m.30827,-0.007960413,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375342.3.3.m.40363,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375357.1.1.m.46425,0.020811088,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375367.1.1.m.10761,-0.010814491,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375395.1.2.m.3613,0.005707617,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375405.1.1.m.48387,-0.001025029,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375419.1.1.m.60972,0.001556518,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375427.1.1.m.6282,0.001832142,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375467.1.1.m.42789,-0.008787082,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375473.1.1.m.9062,0.010234559,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375476.1.1.m.33187,-0.000175079,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375481.1.1.m.4496,-0.009779147,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375491.1.1.m.11693,-0.006943942,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375514.2.6.m.12927,0.025807881,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375551.1.2.m.27488,0.012270768,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375551.1.2.m.27489,-0.00312748,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375551.2.2.m.63719,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375622.1.1.m.55637,0.003684802,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375647.1.2.m.39652,0.000101114,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375650.1.1.m.51555,-0.009816096,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375678.1.1.m.51537,0.000191749,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375699.1.2.m.19738,0.001705194,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375733.1.1.m.66021,0.005847309,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375747.1.1.m.36999,-0.006867876,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375776.1.3.m.8907,0.009568444,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375784.2.6.m.7640,-0.007514529,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375784.3.6.m.12285,0.008683236,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375784.4.6.m.27594,0.011257799,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375791.1.1.m.18116,0.0097573,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375797.1.3.m.4166,-0.006139911,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375820.1.1.m.62640,0.006751748,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375831.1.1.m.24502,-0.00010124,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375838.1.1.m.39473,-0.005995993,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375877.1.1.m.16493,-0.005992097,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375888.1.1.m.18951,-0.009421871,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375890.1.1.m.10490,-0.004341805,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375897.1.2.m.14439,-5.28E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375913.1.1.m.9170,-0.001579934,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375943.1.1.m.9395,0.006400156,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375954.4.6.m.32949,0.003397983,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100375955.1.1.m.9940,0.002998753,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376045.1.1.m.30010,0.007067124,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376049.1.1.m.10489,-0.001835039,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376067.3.3.m.62990,0.015081229,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376096.1.1.m.62366,-0.009748707,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376151.1.1.m.21094,-3.32E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376162.1.1.m.48261,-0.002252174,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376187.1.2.m.22539,-0.000133363,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376187.1.2.m.22540,0.001997446,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376187.2.2.m.55240,0.014007061,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376214.9.11.m.53354,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376250.1.1.m.46061,-0.001797674,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376265.3.4.m.22693,0.004262886,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376265.4.4.m.28000,0.008390866,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376272.3.4.m.30521,-0.01086182,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376272.3.4.m.30522,-0.000208766,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376274.7.7.m.64553,0.000546558,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376289.1.1.m.60023,0.002122993,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376296.1.1.m.36837,-0.008126551,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376308.1.1.m.60595,0.012514184,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376325.1.2.m.1959,-0.021617452,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376387.1.1.m.9565,0.003852957,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100376426.1.3.m.28097,-0.01155775,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
