protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_ISCW_ISCW019590.1.1.m.30707,-0.000184157194302277,0.0127185041096646,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW019991.1.5.m.8713,-0.00841903973516341,-0.0152398528304008,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW020028.1.1.m.57937,0.0193598406737618,-0.0114282593488231,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW020302.1.1.m.37564,0.00799069045058067,-0.0125924828355723,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW020550.2.2.m.18099,0.0147035863600666,-0.00111427200170888,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW021350.1.1.m.10332,-0.00968435479255309,0.00958217642639821,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW021457.1.1.m.31134,-0.0126815824925978,-0.0219169051228671,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW021476.1.1.m.29578,-0.0073529517724365,-0.00133774571412388,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW021545.1.1.m.25379,0.00180656071018493,0.00897354986813137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW021591.1.1.m.13969,0.00343066803817184,0.0124544401824005,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW021591.1.1.m.13970,0.011542498447894,-0.0157661986868524,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW021601.2.2.m.20304,0.0171746434349369,-0.0170171242320553,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW022021.1.1.m.53168,0.0162932254003581,0.0135354909973452,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW022029.1.1.m.9014,0.000590823210639743,-0.0123750543090194,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW022189.1.1.m.8227,-0.00111977454335006,0.0166382137143997,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW022609.1.1.m.26988,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW022842.1.1.m.5648,0.00891358632339791,-0.00385125201721442,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW022925.1.2.m.61535,0.0115202757786242,-0.0125645540968714,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW023153.1.1.m.10480,-0.0107328720921963,0.00202430113605627,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW023180.1.2.m.31255,-0.0106824573212785,-0.0188184456308964,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW023297.1.1.m.11833,0.0086336152445761,-0.0240043762498784,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW023591.1.1.m.9921,0.0108962627621076,0.00135426617095897,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISCW_ISCW023973.1.2.m.6506,0.00705419180576983,-0.0123192281968681,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISL1.1.1.m.10993,-0.00733489441457096,0.0205665440195495,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ISY1.1.1.m.53545,-0.0194489817117044,0.00833386072653858,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITA5.1.1.m.55930,-0.00813982232987474,0.00980075851209436,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITA7.1.1.m.1060,-0.0150079388780714,-6.73540266446611e-05,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITB1.2.4.m.24270,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITB1.3.4.m.28565,-0.0103394715999158,0.00626930292398718,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITB1B.1.1.m.59423,-0.00197920493794784,0.0127326665939432,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITF2.1.1.m.1446,0.00701769100380352,-0.012158283601173,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITIH3.1.3.m.21736,-0.0225602959807724,0.00998083215783538,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITPA.1.1.m.13655,-0.00612895923057486,0.0011454734055942,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ITSN1.4.4.m.35131,-0.00527056603787041,0.00124583561452815,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_IVBI.2.2.m.67049,-0.0225615597109585,0.0099830508472755,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_IVD.1.2.m.5213,-0.00824756243762374,0.0118687061082515,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_IVD.2.2.m.14522,-0.00935083614938625,0.00060548523003406,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_IWS1.1.1.m.13972,-0.00440038161686579,-0.00525279344361361,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_IWS1.1.1.m.13973,0.00678620130084429,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_JIP3.1.1.m.25162,-0.00144817275391381,-0.0247648218532994,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_JNK.1.1.m.1540,-0.0116414538928083,-0.0109870242664381,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_K0020.1.1.m.1673,-0.00283725819850652,0.00375390841531361,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_K11G12.5.1.1.m.55605,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_K1239.3.3.m.45453,-0.00912672607553617,0.00147407685600984,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_K1468.1.1.m.24917,0.00351973567895213,-0.0201848213894163,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_K1609.1.1.m.17775,0.0232849810272115,-0.00826091439468538,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_K6PF.1.1.m.46882,0.00963850362591751,0.00495838388004356,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KAL1.1.1.m.60996,0.0179138800512136,-0.017146536231929,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KALRN.1.2.m.891,0.00983009393176376,0.0046807832654702,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KAPR.1.3.m.8246,0.00582316978948611,0.00271993547421588,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KAPR.2.3.m.56519,-0.00726949337144384,-0.0184440076287073,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KARG.11.11.m.50800,0.00302022110095908,-0.00590111760365776,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KARG.2.11.m.2196,-0.00345777084159622,0.0165979424999357,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KARG.3.11.m.2494,-0.0161907163447578,-0.00126821173959558,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KARG.4.11.m.5401,0.00768926080247352,0.00827948162937483,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KARG.9.11.m.50527,-0.00430894344577715,-0.00631540690244348,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KAT3.1.1.m.49207,-0.00580586297441681,0.0061636902044299,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KAT5.1.1.m.9015,-0.00151731125821964,-0.0106403791917365,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KAT6B.1.2.m.10955,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KAT8.1.1.m.28310,0.000822121662368452,0.00682504771713368,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KBP.1.1.m.16212,-0.0148647275739043,0.00359891948801426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KC1A.1.2.m.14719,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KC1A.2.2.m.64030,-0.0125996753161854,0.0014855225725066,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KC1D.1.3.m.12297,0.000764079697848515,-0.00602371514526522,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KC1D.3.3.m.61498,0.0107671561506392,0.0135069505801705,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KC1G3.1.2.m.18974,0.000686232728993107,-0.0107331332691118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCIP4.1.1.m.46682,0.0163961471962368,-0.00915098938142607,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCMF1.1.1.m.62675,-0.0042102835273548,-0.0240845441209824,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCP.10.13.m.44423,0.00720423496292141,0.000246705607328328,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCP.3.13.m.17018,0.0191318910381269,-0.0103324416776075,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCP.6.13.m.26127,0.0111202442069745,-0.0042142910775678,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCP.7.13.m.40006,-0.00716642467363923,-0.0150040839205364,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCP.8.13.m.40457,0.0223108653369752,-0.010568192777367,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCP.9.13.m.43409,0.0232134271198818,-0.00893620525218466,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KCY.1.1.m.29973,0.0129059098009428,0.00917289260385664,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KDEL1.1.1.m.62729,0.0052505531564301,-0.0070276899241901,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KDM1A.1.1.m.60229,-0.00207488880874576,-0.0254193232903721,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KDM1A.1.1.m.60230,0.0054276802074329,0.00164028724033617,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KDM1B.1.1.m.15843,-0.0213661604477764,-0.000965503037345112,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KDM2B.1.1.m.58689,-3.89172026663936e-05,-0.0134866542217954,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KDM5A.1.1.m.51935,-0.00989348237531128,-0.0157386388778213,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KHDR1.1.1.m.8878,-0.0161825778927362,0.00100577844961815,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KI11A.1.1.m.14576,-0.0100946076934146,-0.0028347173207028,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KI16B.1.3.m.42636,0.00179453570456694,0.00177801109927483,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KI21A.1.2.m.43900,0.000978185361199592,-0.0053140938543833,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KIAA1143.1.1.m.1249,-0.00132945747719683,0.00737862385706685,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KIF2A.2.2.m.62686,-0.00433170869618496,0.00937794336464653,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KIF2A.2.2.m.62687,0.00780027160269066,-0.00868408284104496,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KIF2A.2.2.m.62688,-0.0112689166453151,-0.00574000793403916,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KIF3A.1.1.m.51746,-0.00962408757131871,0.00801021505018441,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KINH.1.9.m.1032,0.0142494087385884,-0.000451731683863494,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KINH.6.9.m.42394,-0.00166307416667126,0.0089927898567407,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KIZ.1.1.m.57618,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLC.2.3.m.40314,-0.00823581303633546,0.007345860038528,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLH26.1.2.m.8792,-0.0226657268121335,0.0102858094953025,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLH36.1.2.m.12244,0.0101270936243178,0.00254168166190118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLHDB.3.5.m.46662,0.00833160890663702,-0.0098151892061065,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLHL24.1.4.m.8833,0.00955632371667922,0.0134504873993676,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLHL24.2.4.m.18433,-0.019301039970972,-0.0145844692813078,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLHL7.1.1.m.9444,0.00491588973115352,-0.000600714720400963,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KLLA0E01035G.1.1.m.13451,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KMO.1.2.m.17496,0.00600608130576091,-0.0125778556500586,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KNOP1.1.1.m.11909,0.00424485737727762,-0.0133165584664845,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPC1.1.2.m.30648,-0.0020188421148159,-0.0249636404729368,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPC1.2.2.m.37402,0.00722249564754703,-0.00763410828352925,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPC2.1.3.m.22368,0.0018231354924874,-0.000632691534360311,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPCD3.1.1.m.10808,-0.000897297430470863,-0.00199960117555125,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPOL_1058P4.2.2.m.61989,-0.00145698260284439,0.0230925734877401,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPRB.1.1.m.17501,-0.00549411042442142,-0.00141704234046166,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPYK.2.4.m.19753,0.0161622373379241,0.00431481517156766,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPYK.3.4.m.47446,0.00555286849257962,0.00388006648903951,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPYK.4.4.m.48513,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KPYM.1.1.m.33498,0.0228073918101062,0.000710717833294678,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KRP95.1.1.m.13582,-0.0174657054465016,-0.00487818306206335,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KS6A1.1.1.m.38386,0.0210831389366508,-0.00376872490428501,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KS6A1.1.1.m.38387,0.00248801029244297,0.00488480998852741,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KS6A5.1.1.m.51330,-0.0111036437673014,-0.0247027229588835,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KS6B1.1.1.m.8274,-0.0128596809129482,0.000611544665403089,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KSR2.1.1.m.9852,-0.00817992430616711,-0.00491780332193089,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KTNA1.1.2.m.16373,0.00127759580575262,0.0131325576449978,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_KTNA1.2.2.m.63437,0.00150279172359759,-0.017307698895163,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_L1CAM.2.2.m.49542,2.87977354038683e-05,0.00850905851524017,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LA.1.1.m.65962,-0.000832199603530511,-0.0154092683505339,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LACB2.1.1.m.31957,-0.00707931803936868,-0.00635338168515043,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LACBIDRAFT_295117.3.10.m.29879,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LACH.1.1.m.62529,0.000875239851454715,-0.0229305878963677,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LAMA2.1.1.m.10439,0.00264656114962099,-0.00905183012592434,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LAMC1.1.1.m.36098,-0.0161862314816744,-0.0160338947173577,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LAMP1.2.3.m.16422,0.000697487551942627,-0.00972271269779974,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LAMP1.3.3.m.16600,0.00911898097496813,-0.0119522166013017,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LAR.1.2.m.30133,-0.00862499572019986,-0.00704838463278227,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LARP4.1.1.m.14987,-0.00846736771344722,-0.0102144823663196,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LARP7.1.1.m.35019,0.00312081081939158,0.000773615546882997,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LC7L3.1.1.m.20705,-0.011817713327613,0.00294976510274116,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LCAZH_2403.1.1.m.47655,0.00678620130084428,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LCP2.12.14.m.40093,0.0123332010188209,0.0105057880279487,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LCP2.3.14.m.8968,-0.00779224322826527,-0.00976622663710646,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LDB3.1.1.m.371,-0.00633265417559937,-0.00144305247644419,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LDBPK_300810.1.1.m.29406,0.0087241867546474,0.00662482051528085,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LDLR.6.7.m.57984,0.0183345408839175,-0.00638828223117769,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LECG.3.4.m.29627,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LEG4.1.1.m.22079,-0.0115958776295535,0.000954908474446537,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LEMD3.1.1.m.56975,0.0194075182264269,-0.00791098998295833,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LEO1.1.1.m.41626,-0.0111632209562756,-0.0204582133590864,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LGR4.1.2.m.27343,0.0182397165654809,-0.000362984305953392,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIAS.1.1.m.21693,-0.0186646583034881,-0.00652864539667058,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIG4.1.1.m.6295,-0.0117247099511419,0.00966945086352812,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIGO2.1.2.m.3525,0.00772521873057533,-0.00739935124728071,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIN9.1.1.m.12005,0.00650429732568845,-0.000261074202427775,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LINJ_09_0950.1.1.m.64023,0.00562309134233149,-0.00534052434900331,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIPA1.1.1.m.10892,0.000413262881641254,-0.00912580039127559,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIPB1.1.1.m.35961,-0.00925328599572819,-0.0160281434820383,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIPR1.2.3.m.4679,-0.00476492399950519,-0.0112305115108519,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LIS1.1.1.m.56212,0.00317536711792586,-0.00195075477638767,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LMBL3.1.1.m.14251,-0.00924937823710343,0.00669768259841269,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LMO7.1.1.m.27803,0.00392145080308668,0.00814289566702412,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LNTL.1.1.2.m.10782,-0.0132182132269034,0.0130933845741077,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_00377.2.4.m.54574,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_00625.1.1.m.34418,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_01021.1.4.m.1826,-0.0199693751717511,-0.000317171016024364,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_05095.2.2.m.58023,0.00478296849739439,0.00761897940472708,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_05718.1.1.m.48540,-0.0124684161432369,-0.000595917607512234,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOAG_05814.1.1.m.56611,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100005182.1.1.m.53007,0.000598895791636865,0.0118752099237096,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100005318.1.1.m.30043,0.00834573180370461,-0.000235341379292921,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100007585.5.7.m.51610,-0.00614977268156889,0.00468456766020479,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100008030.1.1.m.10817,0.00597842216046569,-0.00734921436042913,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100013725.1.2.m.12740,-0.00487194156582074,-0.0101973159882221,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100017222.1.1.m.19930,0.00348769592287081,0.00736152110662804,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100017224.1.1.m.26828,-0.00361542669360183,0.00461918555575073,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100023660.1.1.m.30865,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100024134.1.1.m.61877,0.00712368649556236,0.00666225984417736,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100024935.1.1.m.2615,0.00541762761611219,-0.016936896816162,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100027252.1.1.m.30045,-0.00171040441687323,-0.0165613225796873,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100027962.1.1.m.48278,0.0112052241433168,0.0047852775677173,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100028654.1.1.m.62088,0.0193699532583256,-0.00750437387537547,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100030437.1.3.m.5994,0.00809863460946792,-0.0192214254427526,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100030710.2.4.m.13432,0.00631994313449757,0.00291914673904211,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100030710.4.4.m.20819,0.00499627470285616,-0.0042542364094625,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100049762.1.1.m.1777,0.00312621702126178,-0.012851338784774,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100061302.1.1.m.47172,-0.00492597843780595,0.00565091748587152,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100068494.1.1.m.8733,-0.00489910105145724,-0.00462417247391191,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100072802.1.1.m.27280,-0.00122510931077739,-0.0147159126896058,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100079978.1.1.m.18519,0.00424110400431138,-0.0133199797647006,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100080726.1.1.m.59048,0.00712818973816227,-0.00428010520666877,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100081619.1.1.m.33744,-0.0092951136509964,0.011703257647432,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100081920.1.4.m.1772,-0.0153136058120879,-0.00174652794430069,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100083076.1.1.m.35327,0.00613057851293024,0.000870260873400847,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100089326.1.1.m.19184,-0.00263270243963114,-0.0104950107516247,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100113561.1.1.m.37903,-0.00543505233212447,-0.00534689810587208,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100113671.1.1.m.18491,-0.0188815190248187,-0.00242166029368953,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114159.1.1.m.53867,0.00919677075033335,0.000103915412079769,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114171.1.1.m.50280,0.00373928267260085,0.0217766585807133,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114247.1.1.m.30717,0.0119833223576209,-0.00844631205607929,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114310.1.2.m.39843,0.0030750440999418,-0.001078230741302,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114310.2.2.m.64227,0.01933216333592,0.00215341083527025,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114310.2.2.m.64228,0.00604273233495377,0.0209315148108009,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114433.2.4.m.6343,0.0154020099635064,-0.00804420080010696,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114636.1.1.m.11052,0.00993036497977687,-0.00675802117985377,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100114736.1.1.m.18266,-0.00473936024543437,0.0103158505774383,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100115002.1.1.m.45844,-0.000280342428510785,-0.00371317900636595,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100115298.1.1.m.39207,0.00728828400174674,-0.00397484677592379,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100115467.1.1.m.51329,0.0165645667810608,0.011022562068116,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100115577.1.1.m.21791,0.0109461292212106,0.0110659540212779,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100115776.1.1.m.24729,-0.00977843388585731,-0.00596849173879387,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100115939.1.1.m.28155,-0.0144719242759311,-0.0154063210343305,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100116049.1.1.m.54372,-0.0124014919001265,-0.00148011371418245,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100116717.2.2.m.30034,-0.0147012965966902,-0.0080547221949339,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100116719.1.1.m.58,0.0188666786496893,-0.00531113319343258,No,NA,NA,NA,NA,NA,NA,NA,NA
