Entry	Entry_name	Protein_names	Gene _ames	EMBL_ACC
K1QKK5	K1QKK5_CRAGI	Vacuolar protein sorting-associated protein 4B	CGI_10010435	EKC29355
K1QKM4	K1QKM4_CRAGI	Xylose isomerase (EC 5.3.1.5)	CGI_10007621	EKC29365
K1PYT4	K1PYT4_CRAGI	RIB43A-like with coiled-coils protein 2	CGI_10012093	EKC29387
K1PYW7	K1PYW7_CRAGI	CDK5 regulatory subunit-associated protein 3	CGI_10023802	EKC29412
K1QKU3	K1QKU3_CRAGI	Uncharacterized protein	CGI_10023805	EKC29415
K1PYZ6	K1PYZ6_CRAGI	Formin-binding protein 1-like protein	CGI_10023822	EKC29432
K1R681	K1R681_CRAGI	Reticulon-like protein	CGI_10025479	EKC29471
K1Q6E2	K1Q6E2_CRAGI	PDZ and LIM domain protein 1	CGI_10025486	EKC29478
K1QEM5	K1QEM5_CRAGI	Transcription initiation factor TFIID subunit 8	CGI_10006256	EKC29529
K1QER6	K1QER6_CRAGI	Sodium channel and clathrin linker 1	CGI_10005984	EKC29554
K1QET2	K1QET2_CRAGI	Coatomer subunit alpha	CGI_10027347	EKC29564
K1Q6S1	K1Q6S1_CRAGI	Uncharacterized protein	CGI_10027351	EKC29568
K1R6L5	K1R6L5_CRAGI	NADH-cytochrome b5 reductase (EC 1.6.2.2)	CGI_10027360	EKC29576
K1Q6S7	K1Q6S7_CRAGI	Uncharacterized protein	CGI_10027362	EKC29578
K1Q6W3	K1Q6W3_CRAGI	Talin-1	CGI_10003914	EKC29638
K1PZN1	K1PZN1_CRAGI	Calcium/calmodulin-dependent protein kinase type II delta chain	CGI_10026068	EKC29682
K1QLQ7	K1QLQ7_CRAGI	Coiled-coil domain-containing protein 13	CGI_10013012	EKC29735
K1R6X3	K1R6X3_CRAGI	Golgi SNAP receptor complex member 2	CGI_10013013	EKC29736
K1Q737	K1Q737_CRAGI	Uncharacterized protein	CGI_10009344	EKC29748
K1QLT5	K1QLT5_CRAGI	26S protease regulatory subunit 4	CGI_10015357	EKC29780
K1QFB1	K1QFB1_CRAGI	Ankyrin repeat domain-containing protein 29 (Fragment)	CGI_10007788	EKC29809
K1Q050	K1Q050_CRAGI	Centrin-3	CGI_10026181	EKC29847
K1QLZ0	K1QLZ0_CRAGI	Uncharacterized protein C3orf30	CGI_10026184	EKC29850
K1Q056	K1Q056_CRAGI	Calpain-A	CGI_10026186	EKC29852
K1QFJ8	K1QFJ8_CRAGI	Calmodulin	CGI_10023459	EKC29884
K1QM80	K1QM80_CRAGI	Uncharacterized protein	CGI_10015364	EKC29945
K1Q0J1	K1Q0J1_CRAGI	Uncharacterized protein	CGI_10015378	EKC29957
K1Q0J6	K1Q0J6_CRAGI	Uncharacterized protein	CGI_10003076	EKC29962
K1Q0M2	K1Q0M2_CRAGI	Ras-associated and pleckstrin-like protein domains-containing protein 1	CGI_10023325	EKC29987
B3XZN3	B3XZN3_9BIVA	Tubulin beta chain		BAG55008
K1Q821	K1Q821_CRAGI	Actin, cytoplasmic	CGI_10003491	EKC30048
K1QG72	K1QG72_CRAGI	Hemagglutinin/amebocyte aggregation factor	CGI_10018733	EKC30054
K1QML4	K1QML4_CRAGI	Uncharacterized protein	CGI_10018739	EKC30060
K1Q846	K1Q846_CRAGI	Uncharacterized protein	CGI_10018742	EKC30063
K1QG80	K1QG80_CRAGI	Uncharacterized protein	CGI_10018743	EKC30064
K1R835	K1R835_CRAGI	Extended synaptotagmin-2	CGI_10009135	EKC30111
K1Q107	K1Q107_CRAGI	Histidine triad nucleotide-binding protein 1	CGI_10012408	EKC30127
K1Q109	K1Q109_CRAGI	Neurexin-4	CGI_10021955	EKC30132
K1QGC9	K1QGC9_CRAGI	Acetyl-coenzyme A synthetase	CGI_10021968	EKC30144
K1QMS4	K1QMS4_CRAGI	Alpha-N-acetylglucosaminidase	CGI_10021969	EKC30145
K1Q894	K1Q894_CRAGI	EF-hand domain-containing protein 1	CGI_10004771	EKC30173
K1R890	K1R890_CRAGI	Signal peptide, CUB and EGF-like domain-containing protein 3	CGI_10020353	EKC30186
K1QMY1	K1QMY1_CRAGI	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.-)	CGI_10020381	EKC30210
K1Q8C1	K1Q8C1_CRAGI	Putative RNA-binding protein Luc7-like 2	CGI_10020386	EKC30213
K1Q8C5	K1Q8C5_CRAGI	Putative ATP-dependent RNA helicase DDX47	CGI_10020391	EKC30218
K1Q8P5	K1Q8P5_CRAGI	Poly [ADP-ribose] polymerase 1	CGI_10021822	EKC30348
K1Q1Q0	K1Q1Q0_CRAGI	WW domain-binding protein 11	CGI_10021831	EKC30357
K1QNB6	K1QNB6_CRAGI	Proactivator polypeptide	CGI_10021835	EKC30360
K1QGU8	K1QGU8_CRAGI	Ankyrin repeat domain-containing protein 45	CGI_10021841	EKC30364.1
K1R8U3	K1R8U3_CRAGI	Uncharacterized protein	CGI_10003651	EKC30411
K1Q910	K1Q910_CRAGI	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	CGI_10021948	EKC30438
K1Q253	K1Q253_CRAGI	Neutral and basic amino acid transport protein rBAT	CGI_10016534	EKC30472
K1Q260	K1Q260_CRAGI	Nucleolar protein 58	CGI_10016539	EKC30477
K1R9B0	K1R9B0_CRAGI	Uncharacterized protein	CGI_10012662	EKC30546
K1Q9D7	K1Q9D7_CRAGI	Sorting nexin-2	CGI_10006533	EKC30548
K1QNZ7	K1QNZ7_CRAGI	Ubiquilin-1	CGI_10006535	EKC30550
K1QP26	K1QP26_CRAGI	Uncharacterized protein	CGI_10006541	EKC30555
K1R9D6	K1R9D6_CRAGI	Apoptosis regulator Bcl-2	CGI_10006542	EKC30556
K1QHI5	K1QHI5_CRAGI	Pyruvate carboxylase, mitochondrial	CGI_10017251	EKC30574
K1Q2H5	K1Q2H5_CRAGI	Uncharacterized protein	CGI_10017255	EKC30577
K1QHK8	K1QHK8_CRAGI	Centrosome and spindle pole-associated protein 1	CGI_10005467	EKC30619
K1Q2N6	K1Q2N6_CRAGI	Caspase-2	CGI_10014678	EKC30657
K1QHN6	K1QHN6_CRAGI	Putative WAS protein family-like protein 4	CGI_10014681	EKC30659
K1Q2P1	K1Q2P1_CRAGI	Neurocalcin-like protein	CGI_10014684	EKC30662
K1R9K8	K1R9K8_CRAGI	Uncharacterized protein	CGI_10002263	EKC30671
K1Q2P9	K1Q2P9_CRAGI	Adenine phosphoribosyltransferase	CGI_10002264	EKC30672
K1Q9N7	K1Q9N7_CRAGI	Uncharacterized protein	CGI_10002265	EKC30673
K1Q9P5	K1Q9P5_CRAGI	Mitochondrial-processing peptidase subunit beta	CGI_10017454	EKC30683
K1QPC9	K1QPC9_CRAGI	Troponin T, skeletal muscle	CGI_10017461	EKC30690
K1Q9Q6	K1Q9Q6_CRAGI	Synaptic vesicle membrane protein VAT-1-like protein	CGI_10017469	EKC30698
K1QHS7	K1QHS7_CRAGI	Deoxyuridine 5'-triphosphate nucleotidohydrolase	CGI_10019943	EKC30709
K1QHT0	K1QHT0_CRAGI	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	CGI_10019949	EKC30714
K1Q2U4	K1Q2U4_CRAGI	Uncharacterized protein C2orf77	CGI_10019970	EKC30732
K1QHW8	K1QHW8_CRAGI	Ferritin (EC 1.16.3.1)	CGI_10021660	EKC30759
K1R9T2	K1R9T2_CRAGI	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9)	CGI_10021675	EKC30771
K1QPJ4	K1QPJ4_CRAGI	Sorbin and SH3 domain-containing protein 1	CGI_10021679	EKC30775
K1QHZ0	K1QHZ0_CRAGI	Uncharacterized protein	CGI_10021684	EKC30779
K1Q9Z4	K1Q9Z4_CRAGI	Aldehyde dehydrogenase	CGI_10021688	EKC30783
K1R9V5	K1R9V5_CRAGI	Tetraspanin	CGI_10021703	EKC30796
K1Q2Z6	K1Q2Z6_CRAGI	Carboxylic ester hydrolase (EC 3.1.1.-)	CGI_10019698	EKC30807
K1QPP2	K1QPP2_CRAGI	Elongation factor Tu, mitochondrial	CGI_10009719	EKC30835
K1Q330	K1Q330_CRAGI	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	CGI_10028528	EKC30852
K1QI53	K1QI53_CRAGI	Uncharacterized protein	CGI_10028537	EKC30859
K1Q336	K1Q336_CRAGI	Alpha-galactosidase (EC 3.2.1.-)	CGI_10028541	EKC30862
K1QA79	K1QA79_CRAGI	DnaJ-like protein subfamily B member 11	CGI_10028542	EKC30863
K1RA22	K1RA22_CRAGI	Neurocalcin	CGI_10028566	EKC30886
K1Q359	K1Q359_CRAGI	Uncharacterized protein	CGI_10028568	EKC30887
K1Q390	K1Q390_CRAGI	Uncharacterized protein	CGI_10022503	EKC30932
K1QQ45	K1QQ45_CRAGI	Uncharacterized protein	CGI_10024978	EKC30980
K1Q3D6	K1Q3D6_CRAGI	Uncharacterized protein	CGI_10024980	EKC30982
K1Q3F2	K1Q3F2_CRAGI	Coiled-coil domain-containing protein 40	CGI_10024996	EKC30997
K1QQ68	K1QQ68_CRAGI	Tubulin alpha chain	CGI_10024999	EKC31000
K1QIL3	K1QIL3_CRAGI	Protein lap4	CGI_10025025	EKC31024
K1Q3I2	K1Q3I2_CRAGI	Survival of motor neuron-related-splicing factor 30	CGI_10025028	EKC31027
K1QB07	K1QB07_CRAGI	Uncharacterized protein	CGI_10020257	EKC31058
K1RAS6	K1RAS6_CRAGI	Uncharacterized protein	CGI_10028757	EKC31126
K1QQL5	K1QQL5_CRAGI	LisH domain-containing protein C16orf63-like protein	CGI_10028761	EKC31130
K1QB55	K1QB55_CRAGI	Leucine-rich repeat-containing protein C10orf11-like protein	CGI_10028771	EKC31138
K1QIY2	K1QIY2_CRAGI	Heterochromatin protein 1-binding protein 3	CGI_10028772	EKC31139
K1Q3T2	K1Q3T2_CRAGI	Williams-Beuren syndrome chromosomal region 27 protein	CGI_10028805	EKC31167
K1QQP1	K1QQP1_CRAGI	Programmed cell death protein 4	CGI_10028820	EKC31180
K1QB86	K1QB86_CRAGI	Dynamin-1	CGI_10020770	EKC31193
K1QJ90	K1QJ90_CRAGI	Pleckstrin-like protein domain-containing family A member 7	CGI_10013082	EKC31244
K1RB07	K1RB07_CRAGI	60S ribosomal protein L27a	CGI_10013084	EKC31246
K1QBC3	K1QBC3_CRAGI	Major egg antigen	CGI_10013086	EKC31248
K1QBC8	K1QBC8_CRAGI	Prohormone-4	CGI_10006969	EKC31253
K1RB71	K1RB71_CRAGI	Non-specific lipid-transfer protein	CGI_10003143	EKC31331
K1QR54	K1QR54_CRAGI	Zinc finger RNA-binding protein	CGI_10019235	EKC31375
K1QJN8	K1QJN8_CRAGI	AP-3 complex subunit beta	CGI_10019240	EKC31379
K1QJQ6	K1QJQ6_CRAGI	Putative adenylate kinase 7	CGI_10017168	EKC31394
K1QBX0	K1QBX0_CRAGI	Glutathione S-transferase 3	CGI_10021544	EKC31443
K1QC06	K1QC06_CRAGI	UPF0369 protein C6orf57	CGI_10006291	EKC31473
K1RBM7	K1RBM7_CRAGI	Ubiquitin-conjugating enzyme E2 variant 1	CGI_10015460	EKC31486
K1QC58	K1QC58_CRAGI	Collectin-12	CGI_10015627	EKC31518
K1Q4U5	K1Q4U5_CRAGI	Uncharacterized protein	CGI_10027684	EKC31572
K1QKG8	K1QKG8_CRAGI	Upstream activation factor subunit spp27	CGI_10013405	EKC31589
K1Q4W5	K1Q4W5_CRAGI	Heterogeneous nuclear ribonucleoprotein C	CGI_10009846	EKC31602
K1QCE7	K1QCE7_CRAGI	Uncharacterized protein	CGI_10009847	EKC31603
K1QKI2	K1QKI2_CRAGI	Annulin	CGI_10009854	EKC31609
K1QKI4	K1QKI4_CRAGI	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase)	CGI_10009859	EKC31614
K1QKN4	K1QKN4_CRAGI	Dynein heavy chain 6, axonemal	CGI_10020015	EKC31674
K1QS28	K1QS28_CRAGI	Dystroglycan	CGI_10020032	EKC31685
K1QCM0	K1QCM0_CRAGI	Rho GDP-dissociation inhibitor 1	CGI_10019175	EKC31723
K1QCM9	K1QCM9_CRAGI	Uncharacterized protein	CGI_10008992	EKC31733
K1QKV1	K1QKV1_CRAGI	Cytochrome b-c1 complex subunit 6	CGI_10015438	EKC31749
K1Q573	K1Q573_CRAGI	Uncharacterized protein	CGI_10016704	EKC31762
K1QCT1	K1QCT1_CRAGI	ELKS/RAB6-interacting/CAST family member 1	CGI_10006173	EKC31788
K1QS99	K1QS99_CRAGI	Neuroligin-4, X-linked	CGI_10010189	EKC31800
K1QSA3	K1QSA3_CRAGI	Uncharacterized protein	CGI_10010194	EKC31805
K1QSC1	K1QSC1_CRAGI	Glycogen [starch] synthase (EC 2.4.1.11)	CGI_10017418	EKC31835
K1RCL2	K1RCL2_CRAGI	Mitochondrial import inner membrane translocase subunit Tim13-B	CGI_10011086	EKC31866
K1Q5I4	K1Q5I4_CRAGI	COP9 signalosome complex subunit 2	CGI_10009055	EKC31877
K1QSG0	K1QSG0_CRAGI	Carbonic anhydrase 2	CGI_10009059	EKC31880
K1RCN3	K1RCN3_CRAGI	Deleted in malignant brain tumors 1 protein	CGI_10018871	EKC31891
K1RCW5	K1RCW5_CRAGI	Eukaryotic translation initiation factor 4 gamma 3	CGI_10022856	EKC31981
K1QLQ0	K1QLQ0_CRAGI	UPF0582 protein C13orf37-like protein	CGI_10011337	EKC32004
K1QLS3	K1QLS3_CRAGI	Cytochrome b-c1 complex subunit 2, mitochondrial	CGI_10005784	EKC32019
K1QDH9	K1QDH9_CRAGI	Myosin-11	CGI_10005788	EKC32023
K1QDK8	K1QDK8_CRAGI	Intraflagellar transport protein 74-like protein	CGI_10014466	EKC32048
K1QT21	K1QT21_CRAGI	Putative ATP-dependent RNA helicase DDX5	CGI_10014473	EKC32055
K1RD83	K1RD83_CRAGI	Serine hydroxymethyltransferase (EC 2.1.2.1)	CGI_10014474	EKC32056
K1Q642	K1Q642_CRAGI	Hepatocyte growth factor-regulated tyrosine kinase substrate	CGI_10014480	EKC32062
K1QT34	K1QT34_CRAGI	Uncharacterized protein	CGI_10013436	EKC32070
K1QDS1	K1QDS1_CRAGI	3-hydroxyacyl-CoA dehydrogenase type-2	CGI_10013459	EKC32093
K1Q662	K1Q662_CRAGI	Actin-interacting protein 1	CGI_10025192	EKC32102
K1QDU1	K1QDU1_CRAGI	Uncharacterized protein	CGI_10025210	EKC32118
K1QT65	K1QT65_CRAGI	Collagen alpha-3(VI) chain	CGI_10025212	EKC32120
K1Q680	K1Q680_CRAGI	Clathrin interactor 1	CGI_10022178	EKC32147
K1QM68	K1QM68_CRAGI	Cytochrome P450 3A29	CGI_10022185	EKC32154
K1QMB0	K1QMB0_CRAGI	Uncharacterized protein	CGI_10007491	EKC32209
K1Q6B8	K1Q6B8_CRAGI	Linear gramicidin synthetase subunit D	CGI_10006353	EKC32217
K1RDP7	K1RDP7_CRAGI	Uncharacterized protein	CGI_10026212	EKC32226
K1QMD2	K1QMD2_CRAGI	Uncharacterized protein	CGI_10026232	EKC32244
K1RDS1	K1RDS1_CRAGI	Splicing factor, arginine/serine-rich 2	CGI_10026246	EKC32256
K1Q6E1	K1Q6E1_CRAGI	Scaffold attachment factor B1	CGI_10026252	EKC32262
K1RDT2	K1RDT2_CRAGI	WD repeat-containing protein 16	CGI_10026256	EKC32266
K1QMF0	K1QMF0_CRAGI	Xaa-Pro aminopeptidase 1	CGI_10026261	EKC32269
K1QTG7	K1QTG7_CRAGI	Sulfotransferase family cytosolic 1B member 1	CGI_10004741	EKC32275
K1RDV2	K1RDV2_CRAGI	Myotrophin-like protein	CGI_10004935	EKC32286
K1RDW8	K1RDW8_CRAGI	Golgi apparatus protein 1	CGI_10022239	EKC32306
K1RDX5	K1RDX5_CRAGI	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	CGI_10022249	EKC32316
K1QEG1	K1QEG1_CRAGI	Apoptotic chromatin condensation inducer in the nucleus	CGI_10022251	EKC32318
K1QTL5	K1QTL5_CRAGI	Sjoegren syndrome/scleroderma autoantigen 1	CGI_10022259	EKC32325
K1Q6I1	K1Q6I1_CRAGI	Ubiquitin-conjugating enzyme E2 L3	CGI_10017486	EKC32337
K1QTY5	K1QTY5_CRAGI	Sulfide:quinone oxidoreductase, mitochondrial	CGI_10002617	EKC32430
K1QUC2	K1QUC2_CRAGI	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	CGI_10012715	EKC32535
K1REP5	K1REP5_CRAGI	Cysteinyl-tRNA synthetase, cytoplasmic	CGI_10014506	EKC32546
K1QFE1	K1QFE1_CRAGI	Calmodulin	CGI_10014520	EKC32558
K1Q765	K1Q765_CRAGI	Calmodulin	CGI_10014525	EKC32562
K1QNJ1	K1QNJ1_CRAGI	Uncharacterized protein	CGI_10008200	EKC32594
K1QUL2	K1QUL2_CRAGI	Fibropellin-1	CGI_10008201	EKC32595
K1PP35	K1PP35_CRAGI	Uncharacterized protein	CGI_10007426 CGI_10011463	EKC25872
K1RF08	K1RF08_CRAGI	Nesprin-1	CGI_10015729	EKC32676.1
K1QNP7	K1QNP7_CRAGI	LIM and SH3 domain protein Lasp	CGI_10024066	EKC32689
K1Q7H0	K1Q7H0_CRAGI	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12)	CGI_10024074	EKC32697
K1Q7H2	K1Q7H2_CRAGI	Uncharacterized protein	CGI_10024080	EKC32702
K1QFP5	K1QFP5_CRAGI	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2)	CGI_10024081	EKC32703
K1QUU0	K1QUU0_CRAGI	Uncharacterized protein	CGI_10024094	EKC32715
K1QFQ8	K1QFQ8_CRAGI	Fibropellin-1	CGI_10024098	EKC32718
K1QFR2	K1QFR2_CRAGI	Calnexin	CGI_10003633	EKC32723
K1QUX6	K1QUX6_CRAGI	4-hydroxybutyrate coenzyme A transferase	CGI_10010890	EKC32755
K1QNV6	K1QNV6_CRAGI	Tropomyosin	CGI_10013164	EKC32774
K1QUZ7	K1QUZ7_CRAGI	Bromodomain testis-specific protein	CGI_10013170	EKC32780
K1QNX7	K1QNX7_CRAGI	Homer-like protein 2	CGI_10017198	EKC32804
K1Q7T5	K1Q7T5_CRAGI	Protein disulfide-isomerase (EC 5.3.4.1)	CGI_10011652	EKC32832
K1QV52	K1QV52_CRAGI	Transcriptional enhancer factor TEF-1	CGI_10013700	EKC32840
K1QV55	K1QV55_CRAGI	Ubiquitin thioesterase OTUB1	CGI_10013705	EKC32845
K1Q7U7	K1Q7U7_CRAGI	Basigin	CGI_10013707	EKC32847
K1QV87	K1QV87_CRAGI	Catenin alpha-2	CGI_10024442	EKC32880
K1QGC5	K1QGC5_CRAGI	Methylglutaconyl-CoA hydratase, mitochondrial	CGI_10006089	EKC32958
K1Q868	K1Q868_CRAGI	Uncharacterized protein	CGI_10011344	EKC32972
K1Q8B5	K1Q8B5_CRAGI	NGFI-A-binding-like protein	CGI_10013633	EKC33007
K1RGB3	K1RGB3_CRAGI	Uncharacterized protein	CGI_10024002	EKC33101
K1PPC3	K1PPC3_CRAGI	U6 snRNA-associated Sm-like protein LSm7	CGI_10008217 CGI_10016491	EKC19551
K1QW61	K1QW61_CRAGI	WD repeat-containing protein 19	CGI_10014212	EKC33190
K1QW76	K1QW76_CRAGI	Receptor-type tyrosine-protein phosphatase T	CGI_10017381	EKC33205
K1QHH8	K1QHH8_CRAGI	Putative 10-formyltetrahydrofolate dehydrogenase ALDH1L2	CGI_10014314	EKC33323
K1QWK6	K1QWK6_CRAGI	Metalloendopeptidase (EC 3.4.24.-)	CGI_10025876	EKC33355
K1QHS0	K1QHS0_CRAGI	Uncharacterized protein	CGI_10025906	EKC33383
K1RHA0	K1RHA0_CRAGI	Collagen alpha-1(XII) chain	CGI_10022003	EKC33511
K1Q9Z2	K1Q9Z2_CRAGI	Collagen alpha-6(VI) chain	CGI_10022004	EKC33512
K1QQV6	K1QQV6_CRAGI	Collagen alpha-1(XII) chain	CGI_10022006	EKC33514
K1QIB6	K1QIB6_CRAGI	Uncharacterized protein	CGI_10022012	EKC33518
K1QIM6	K1QIM6_CRAGI	Uncharacterized protein	CGI_10017745	EKC33593
K1RHJ4	K1RHJ4_CRAGI	Actin	CGI_10017753	EKC33601
K1QXK7	K1QXK7_CRAGI	40 kDa peptidyl-prolyl cis-trans isomerase	CGI_10015504	EKC33675
K1RHP1	K1RHP1_CRAGI	Uncharacterized protein	CGI_10020740	EKC33711
K1QIY8	K1QIY8_CRAGI	Uncharacterized protein	CGI_10023287	EKC33753
K1QIZ7	K1QIZ7_CRAGI	Programmed cell death protein 6	CGI_10023297	EKC33763
K1QXU8	K1QXU8_CRAGI	Uncharacterized protein	CGI_10023299	EKC33765
K1RHT2	K1RHT2_CRAGI	Uncharacterized protein	CGI_10023300	EKC33766
K1QJ28	K1QJ28_CRAGI	Mammalian ependymin-related protein 1	CGI_10001245	EKC33793
K1QRL6	K1QRL6_CRAGI	Methenyltetrahydrofolate synthetase domain-containing protein	CGI_10014726	EKC33829
K1RI74	K1RI74_CRAGI	Epithelial splicing regulatory protein 2	CGI_10021424	EKC33911
K1QRU9	K1QRU9_CRAGI	Epidermal growth factor receptor kinase substrate 8-like protein 1	CGI_10021428	EKC33914
K1QYD6	K1QYD6_CRAGI	BET1-like protein	CGI_10021429	EKC33915
K1QYF0	K1QYF0_CRAGI	Putative beta-D-xylosidase 5	CGI_10017858	EKC33925
K1RIA0	K1RIA0_CRAGI	Molybdopterin molybdenumtransferase (EC 2.10.1.1) [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	CGI_10017869	EKC33936
K1QAZ7	K1QAZ7_CRAGI	Coiled-coil domain-containing protein 55	CGI_10017875	EKC33942
K1QFE4	K1QFE4_CRAGI	LDLR chaperone MESD	CGI_10006348	EKC20281
K1QRY9	K1QRY9_CRAGI	Uncharacterized protein	CGI_10004918	EKC33949
K1QYV2	K1QYV2_CRAGI	Fatty acid-binding protein, heart	CGI_10008288	EKC34000
K1QJP5	K1QJP5_CRAGI	Fatty acid-binding-like protein 5	CGI_10008291	EKC34003
K1QB62	K1QB62_CRAGI	BolA-like protein 2	CGI_10008295	EKC34007
K1QJQ0	K1QJQ0_CRAGI	IQ domain-containing protein D	CGI_10008296	EKC34008
K1QBH0	K1QBH0_CRAGI	Uncharacterized protein	CGI_10018964	EKC34092
K1QJZ8	K1QJZ8_CRAGI	Small acidic protein	CGI_10018965	EKC34093
K1QK10	K1QK10_CRAGI	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	CGI_10014956	EKC34118
K1QZ84	K1QZ84_CRAGI	Thioredoxin domain-containing protein 3-like protein	CGI_10014958	EKC34120
K1QK11	K1QK11_CRAGI	Dynein heavy chain 7, axonemal	CGI_10014961	EKC34123
K1QSI3	K1QSI3_CRAGI	Uncharacterized protein	CGI_10007637	EKC34159
K1QK30	K1QK30_CRAGI	S-adenosylmethionine synthase (EC 2.5.1.6)	CGI_10007641	EKC34163
K1QSJ6	K1QSJ6_CRAGI	Tyrosine-protein kinase (EC 2.7.10.2) (Fragment)	CGI_10008929	EKC34184
K1QBN4	K1QBN4_CRAGI	NSFL1 cofactor p47	CGI_10018455	EKC34212
K1QK73	K1QK73_CRAGI	DDRGK domain-containing protein 1	CGI_10018461	EKC34218
K1QSQ9	K1QSQ9_CRAGI	Putative ATP-dependent RNA helicase an3	CGI_10018336	EKC34259
K1QKC7	K1QKC7_CRAGI	Uncharacterized protein	CGI_10019990	EKC34278
K1QBV3	K1QBV3_CRAGI	Glycyl-tRNA synthetase	CGI_10023418	EKC34317
K1RJ91	K1RJ91_CRAGI	Ubiquitin-associated protein 2	CGI_10023422	EKC34321
K1RJA7	K1RJA7_CRAGI	Uncharacterized protein	CGI_10023442	EKC34336
K1QZP6	K1QZP6_CRAGI	Syntaxin-6	CGI_10018191	EKC34340
K1QBX4	K1QBX4_CRAGI	Tetratricopeptide repeat protein 19	CGI_10018193	EKC34342
K1QBZ0	K1QBZ0_CRAGI	Gamma-glutamyltranspeptidase 1 (Fragment)	CGI_10018218	EKC34362
K1QKL1	K1QKL1_CRAGI	DNA-directed RNA polymerases I, II, and III subunit RPABC3	CGI_10018219	EKC34363
K1QZW1	K1QZW1_CRAGI	Plasma alpha-L-fucosidase	CGI_10025760	EKC34400
K1QKQ8	K1QKQ8_CRAGI	THO complex subunit 4-A	CGI_10025768	EKC34408
K1QT61	K1QT61_CRAGI	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (Fragment)	CGI_10025791	EKC34429
K1QT91	K1QT91_CRAGI	LIM domain and actin-binding protein 1	CGI_10012729	EKC34449
K1RJQ4	K1RJQ4_CRAGI	Protein phosphatase inhibitor 2	CGI_10012736	EKC34456
K1QC62	K1QC62_CRAGI	Uncharacterized protein	CGI_10012737	EKC34457
K1R043	K1R043_CRAGI	Uncharacterized protein	CGI_10015393	EKC34470
K1RJS5	K1RJS5_CRAGI	Uncharacterized protein	CGI_10015394	EKC34471
K1QKW4	K1QKW4_CRAGI	Toll-interacting protein	CGI_10015396	EKC34473
K1QTD6	K1QTD6_CRAGI	Catalase	CGI_10016257	EKC34489
K1QKY7	K1QKY7_CRAGI	Uncharacterized protein	CGI_10016266	EKC34498
K1RJW1	K1RJW1_CRAGI	Uncharacterized protein	CGI_10016269	EKC34501
K1QCB6	K1QCB6_CRAGI	Translin-associated factor X-interacting protein 1	CGI_10009467	EKC34517
K1QTH2	K1QTH2_CRAGI	Globin	CGI_10009474	EKC34524
K1QTP1	K1QTP1_CRAGI	Dipeptidyl peptidase family member 6	CGI_10021123	EKC34559
K1QCK2	K1QCK2_CRAGI	Uncharacterized protein	CGI_10021126	EKC34562
K1R0K2	K1R0K2_CRAGI	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	CGI_10012951	EKC34600
K1RK54	K1RK54_CRAGI	Uncharacterized protein	CGI_10012952	EKC34601
K1QCR7	K1QCR7_CRAGI	Uncharacterized protein	CGI_10000097 CGI_10023205	EKC17871
K1QTV2	K1QTV2_CRAGI	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial	CGI_10023207	EKC34664
K1QLB3	K1QLB3_CRAGI	Short-chain collagen C4	CGI_10026803	EKC34668
K1R0Q6	K1R0Q6_CRAGI	Laminin subunit alpha	CGI_10026821	EKC34685
K1QCT6	K1QCT6_CRAGI	Tankyrase-1	CGI_10026829	EKC34692
K1QCU7	K1QCU7_CRAGI	Vacuolar protein sorting-associated protein 13C	CGI_10026852	EKC34712
K1RKC1	K1RKC1_CRAGI	Far upstream element-binding protein 3	CGI_10021712	EKC34731
K1QU02	K1QU02_CRAGI	Uncharacterized protein	CGI_10021716	EKC34734
K1R0U3	K1R0U3_CRAGI	Uncharacterized protein	CGI_10021722	EKC34740
K1QU48	K1QU48_CRAGI	Protein FAM21	CGI_10016377	EKC34789
K1QU56	K1QU56_CRAGI	Malic enzyme	CGI_10016387	EKC34799
K1R115	K1R115_CRAGI	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)	CGI_10022522	EKC34820
K1RKI5	K1RKI5_CRAGI	Synaptobrevin	CGI_10022529	EKC34826
K1QLQ6	K1QLQ6_CRAGI	Thioredoxin domain-containing protein C2F3.12c	CGI_10022531	EKC34828
K1QD56	K1QD56_CRAGI	Tight junction protein ZO-1 (Fragment)	CGI_10010706	EKC34842
