"Supplemental Table 4. ASCA time effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC100377034.1.1.m.6251,0.002254723,-0.000524894,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377054.1.1.m.8489,0.001080457,-0.000425763,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377058.1.1.m.22299,-0.006827851,0.003956659,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377066.1.2.m.18381,0.001387625,-0.007848594,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377077.1.1.m.9907,-0.01895666,0.008618821,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377089.1.2.m.5892,0.005228422,-0.000192791,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377100.1.1.m.51994,-0.000153649,0.004957833,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377119.1.1.m.44037,-0.023043857,-0.001954156,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377154.3.4.m.52896,-0.007939957,-0.001431814,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377160.2.2.m.55835,0.004296272,-4.84E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377173.1.2.m.37698,-0.031430986,0.001298919,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377173.1.2.m.37699,-0.014685868,0.010324872,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377184.1.1.m.16090,-0.002608444,-0.002442787,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377200.1.2.m.19811,0.006773455,-0.001891327,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377220.1.1.m.36306,-6.53E-05,0.008661835,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377233.1.1.m.30409,-0.003378652,0.005497413,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377235.1.2.m.30935,0.007693259,0.002560252,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377243.1.1.m.6500,-0.006961116,-0.001910947,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377244.1.2.m.31458,-0.02481258,-0.003978983,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377267.1.1.m.49876,0.007456702,0.005109283,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377311.6.14.m.34688,-5.83E-05,0.007733553,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377323.1.1.m.23683,-0.016467228,-0.016542772,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377347.1.1.m.11235,-0.007761533,-0.007175919,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377362.1.1.m.10266,-0.001208069,0.007732793,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377364.1.2.m.4828,0.002714401,0.002819264,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377364.2.2.m.52803,0.005264605,0.002979246,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377378.1.1.m.64418,-0.003595739,-5.48E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377381.1.2.m.29868,-0.00221142,-0.011856916,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377381.2.2.m.49035,-0.00556627,-0.000489962,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377392.2.4.m.21904,0.010733105,0.009191969,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377392.3.4.m.26363,-0.027362292,-0.017413295,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377392.4.4.m.65974,-0.0048838,-0.002115498,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377398.1.1.m.44441,-0.008599828,-0.002724848,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377412.1.1.m.41404,-0.003611382,-0.000787218,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377435.1.1.m.46017,-0.00498423,-0.005375845,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377460.1.1.m.38781,0.003065832,-0.003741353,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377487.1.1.m.27964,-0.00080958,-0.012495685,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377495.1.1.m.17707,-0.004658837,-0.004913979,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377501.1.1.m.13155,-0.017988059,0.026754264,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377541.2.4.m.15307,0.008636979,0.005676734,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377560.1.1.m.66612,0.000458688,0.000317052,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377596.1.1.m.7350,-0.005656298,0.006003043,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377647.1.2.m.10110,-0.01620654,-0.010313802,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377677.1.2.m.23471,-0.009506127,-0.006049676,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377677.2.2.m.27049,-0.001040271,0.003471869,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377682.1.1.m.31441,-0.000863101,0.001926196,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377736.1.1.m.251,-0.002813872,-0.016326303,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377751.1.1.m.26359,-0.009889254,0.0070586,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377755.1.1.m.1005,0.017327571,0.003798281,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377755.1.1.m.1006,-0.011612689,-0.004917006,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377759.10.15.m.45798,-0.004902953,-0.005108514,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377759.15.15.m.64824,0.004325606,0.005108429,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377771.1.1.m.7044,-0.003729865,3.34E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377780.8.11.m.53259,-0.020152132,0.000987005,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377783.1.1.m.14549,0.001842678,-0.00107564,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377837.2.2.m.7996,-0.007407359,0.010592268,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377856.2.2.m.43339,-0.001870648,-0.00414773,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377864.1.1.m.33298,-0.006659129,0.016350535,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377872.1.1.m.30372,-0.004411697,0.000241335,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377901.1.1.m.7173,0.005260545,-0.003934505,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377934.1.1.m.48699,0.004036295,-0.001090722,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377974.1.1.m.6543,-0.003152852,0.004280238,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100377982.1.1.m.43510,-0.003596236,0.004882167,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378002.1.1.m.47564,-0.004801189,0.003197045,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378011.2.2.m.52041,-0.007291346,-0.014522173,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378054.4.4.m.63855,0.001346955,-0.001811952,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378071.1.1.m.40488,-0.006414849,-0.001092868,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378083.1.3.m.26711,-0.029000978,-0.014033504,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378083.3.3.m.65631,0.006325256,0.021666773,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378099.1.1.m.22676,0.001391354,0.00159436,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378099.1.1.m.22677,0.004171955,-0.009202553,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378116.1.3.m.22707,-0.003735694,0.005071492,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378116.3.3.m.60538,0.007339777,-0.002683225,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378195.1.1.m.46024,-0.007054775,-0.007832099,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378204.1.1.m.40064,-0.001185608,0.004983637,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378209.1.2.m.7335,-0.009865303,0.01207299,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378221.1.1.m.29052,0.000144792,-0.00091863,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378252.1.1.m.16877,0.001592022,1.67E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378255.1.1.m.63185,-0.016603938,0.00995949,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378269.1.2.m.12226,-0.006122769,-0.001274519,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378295.1.4.m.3278,0.001842076,0.002175444,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378322.1.1.m.16268,-0.002916645,-0.011894454,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378331.1.1.m.47480,-0.008656678,-0.003425862,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378364.1.1.m.53053,0.00159571,-0.001183164,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378410.1.1.m.18106,-0.026141638,0.024579986,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378414.1.1.m.34038,-0.002112928,0.008874763,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378430.1.1.m.63142,-0.010365741,-0.005507368,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378445.1.1.m.7111,-0.000405018,-0.010459629,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378487.1.1.m.64108,-0.009211041,0.001754317,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378510.1.1.m.9865,0.0124248,-0.001267699,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378526.1.1.m.16747,0.000737642,-0.004220535,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378553.1.1.m.7444,-0.004197004,0.011346975,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378570.1.1.m.25501,-0.009349747,-0.00886153,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378584.1.3.m.38091,-0.009518669,-0.006400908,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378607.1.2.m.17330,-0.004538057,-0.001210031,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378615.1.2.m.25321,0.002950749,-0.000797377,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378618.1.1.m.48704,-0.010967383,0.005521401,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378619.1.2.m.21468,0.006828743,-0.008305238,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378619.2.2.m.36047,-0.015938736,0.013480775,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378642.1.1.m.54868,0.006055199,0.020832611,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378644.2.2.m.58497,-0.002851771,-0.002063117,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378652.1.1.m.5656,-0.007003434,-0.00455219,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378652.1.1.m.5657,-0.002313122,0.006718828,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378652.1.1.m.5658,-0.003328264,-0.000616685,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378653.1.3.m.42107,-0.008716395,-0.005547092,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378658.1.1.m.38454,-7.93E-05,0.010518471,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378676.3.8.m.43012,0.003727424,0.017874405,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378691.2.2.m.40118,-0.003877988,-0.002258673,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378714.2.4.m.30802,0.002294902,0.00036547,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378719.1.1.m.7367,-4.41E-07,0.003099001,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378760.1.1.m.37015,0.000533446,-0.000693832,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378816.1.1.m.10997,-0.025676618,-0.011365981,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378818.2.2.m.27217,0.011353447,0.003485054,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378821.1.1.m.8967,0.00108657,0.015262396,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378839.1.1.m.21328,-0.004883614,0.003601597,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378844.1.4.m.7322,-0.009682411,0.003243293,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378848.1.1.m.29949,0.005338855,0.004013808,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378849.1.1.m.21445,-0.011410108,-0.002827753,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378873.3.3.m.30410,-0.031627268,0.006629798,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378881.1.1.m.29212,-0.002432062,-0.001102773,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378892.1.1.m.41502,5.92E-05,-0.00248087,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378901.1.2.m.29418,-0.003184309,0.000716331,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378967.1.1.m.62298,-0.002701495,0.004337865,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378969.2.2.m.31240,0.006186087,-0.001274853,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378993.1.1.m.13997,0.004266077,-0.005557895,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100378999.1.1.m.36850,-0.017631169,-0.011220433,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100379008.4.4.m.54023,-0.00676552,0.009180189,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100379027.1.1.m.27022,-0.010446462,0.009574802,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100379049.1.1.m.51860,-0.00353605,0.011071959,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100462678.2.2.m.28619,0.004978501,0.005879481,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100465916.1.1.m.44328,0.00470076,-0.001270279,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100471656.2.2.m.34266,7.38E-05,0.013534747,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100476601.1.1.m.9343,0.0132324,0.000673495,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100485159.1.1.m.30340,-0.003196716,0.002083093,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100485247.1.1.m.37690,0.015498628,-0.007113555,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100485356.1.1.m.21339,0.002585234,-0.000698604,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100485383.1.1.m.52650,-0.027532339,-0.00705653,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100485536.1.1.m.48204,0.0010845,-0.008239788,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100485604.1.1.m.45268,-0.01104396,-0.007028349,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100486001.1.1.m.6209,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100486063.2.9.m.5918,-0.00424601,-0.004435689,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100486063.5.9.m.39538,0.005666404,0.003636513,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100486063.6.9.m.44250,0.001973286,-0.000533238,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100486357.1.1.m.51050,-0.00163313,0.022907413,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100486738.1.2.m.63464,0.020092325,-0.019885432,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100487213.2.4.m.53374,-0.001722704,0.001058961,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100488715.1.1.m.61241,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100488894.1.5.m.4048,-0.000191582,-0.003047541,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100489126.1.1.m.18822,0.007134164,-0.009241722,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100489926.1.3.m.3642,-0.008161839,-0.005577693,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100489929.1.1.m.51437,0.016640808,0.009427594,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100490321.2.2.m.54266,0.003171968,0.003746013,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100490454.1.1.m.64455,0.001470088,0.001377837,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100491753.1.3.m.45589,-0.002773629,0.003765414,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100491886.1.1.m.26703,-0.028924116,-0.018407236,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100492442.1.1.m.16466,-0.006243615,0.0007721,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100492576.1.1.m.7775,0.001352508,0.00083991,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100492683.1.1.m.63753,0.005620324,0.024257704,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100493179.5.15.m.32003,-0.003019392,-0.003261061,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100493440.1.2.m.17291,0.008224548,-0.01067885,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100493600.1.1.m.58682,-0.003540754,-0.001033077,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100495846.1.1.m.11305,-0.002431725,0.001463495,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100496973.2.8.m.19997,0.011530934,-0.020934211,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100496973.4.8.m.55256,-0.007079594,-0.011512358,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100497129.3.8.m.32060,0.008372687,0.01061967,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100497129.6.8.m.41866,-0.022030005,-0.014019841,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100497129.7.8.m.41875,0.012426532,0.003304176,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100498109.3.3.m.55841,-0.008927279,-0.005681298,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100502592.1.1.m.27996,-0.011955634,-0.007608536,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100524481.1.1.m.14740,0.017452368,-0.01337513,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533218.1.1.m.56993,-0.009087251,0.018322967,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533220.2.2.m.13989,0.005345609,-0.001324941,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533220.2.2.m.13990,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533220.2.2.m.13991,-0.00010014,0.013286139,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533225.1.2.m.36896,-0.012568839,0.010181367,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533245.3.6.m.31982,0.002881741,-0.006583733,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533245.3.6.m.31983,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533258.6.6.m.48142,0.002515805,0.000528703,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533258.6.6.m.48143,0.003076532,0.000583267,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533261.1.1.m.36141,-0.002761354,0.002274908,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533283.1.1.m.54357,0.002381478,-0.000466219,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533284.1.2.m.25143,-0.006229509,0.00881866,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533289.6.6.m.59221,-0.012881982,-0.002219562,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533290.1.1.m.9001,-0.00133249,-0.005303237,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533294.1.3.m.35108,7.09E-05,0.002259038,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533294.2.3.m.36820,0.00914967,-0.003829785,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533315.1.3.m.40003,-0.004040583,-0.019246947,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533316.2.2.m.47773,0.004103286,-0.011035158,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533319.1.2.m.46,-0.002561367,0.020835773,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533325.1.1.m.55617,-0.004001854,-0.002121329,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533330.1.2.m.2565,-0.012788993,0.00265499,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533341.1.1.m.1846,-0.002222364,-0.001857972,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533349.3.5.m.52212,0.009966103,0.001772965,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533356.6.6.m.63561,-0.003182961,0.013974068,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533357.1.2.m.56848,-0.001003511,-0.000970536,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533383.1.2.m.10358,0.019404586,0.008164655,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533384.3.5.m.37350,0.016697148,-0.014181215,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533384.5.5.m.59082,-0.002272346,-0.001207403,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533384.5.5.m.59083,-0.015132922,0.023206828,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533387.1.1.m.56131,-0.000148695,0.001459239,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533388.1.6.m.3716,0.017455454,0.020696157,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533388.2.6.m.5374,0.004042363,-0.000678528,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533388.4.6.m.45039,0.017631567,-0.011373219,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533388.6.6.m.45695,0.000980334,0.000735949,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533400.1.4.m.12300,0.005679192,-0.003976605,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100533400.3.4.m.28214,0.013222546,-0.017774234,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
